year,avg_temp
1835,17.40
1836,18.10
1837,18.07
1838,17.75
1839,18.16
1840,18.32
1841,18.33
1842,18.61
1843,18.76
1844,18.22
1845,18.08
1846,18.91
1847,18.47
1848,18.46
1849,18.99
1850,18.84
1851,18.62
1852,18.78
1853,18.19
1854,18.13
1855,18.10
1856,18.04
1857,18.35
1858,18.78
1859,18.91
1860,18.38
1861,18.75
1862,18.64
1863,18.69
1864,18.40
1865,18.75
1866,18.71
1867,19.32
1868,18.54
1869,19.11
1870,18.79
1871,18.76
1872,18.72
1873,18.66
1874,18.76
1875,18.59
1876,18.58
1877,18.81
1878,19.22
1879,18.58
1880,18.80
1881,18.85
1882,18.68
1883,18.39
1884,18.22
1885,18.48
1886,18.65
1887,18.18
1888,18.38
1889,18.73
1890,18.24
1891,18.39
1892,18.65
1893,18.41
1894,18.62
1895,18.77
1896,19.19
1897,19.39
1898,18.61
1899,18.54
1900,18.99
1901,18.66
1902,18.83
1903,18.52
1904,18.12
1905,18.64
1906,18.48
1907,18.62
1908,18.80
1909,19.10
1910,18.33
1911,19.03
1912,18.69
1913,18.36
1914,18.65
1915,18.86
1916,18.77
1917,18.74
1918,18.81
1919,19.16
1920,19.18
1921,19.00
1922,19.22
1923,19.14
1924,19.07
1925,18.81
1926,19.03
1927,19.01
1928,19.36
1929,19.16
1930,19.23
1931,18.86
1932,19.06
1933,19.54
1934,18.83
1935,18.69
1936,19.20
1937,19.36
1938,18.98
1939,18.87
1940,19.38
1941,19.52
1942,19.44
1943,19.02
1944,19.34
1945,19.79
1946,19.68
1947,19.54
1948,19.86
1949,19.65
1950,19.25
1951,19.47
1952,19.22
1953,19.62
1954,18.96
1955,19.07
1956,18.87
1957,19.62
1958,19.28
1959,19.14
1960,19.33
1961,19.33
1962,19.61
1963,19.30
1964,19.41
1965,19.17
1966,18.85
1967,19.07
1968,18.96
1969,19.53
1970,19.22
1971,19.19
1972,19.47
1973,19.47
1974,18.98
1975,19.16
1976,18.86
1977,19.26
1978,19.05
1979,19.03
1980,19.36
1981,19.05
1982,19.72
1983,19.44
1984,18.91
1985,19.01
1986,19.16
1987,19.14
1988,19.20
1989,19.01
1990,19.27
1991,19.69
1992,19.14
1993,19.56
1994,19.79
1995,19.87
1996,19.27
1997,19.65
1998,20.31
1999,19.27
2000,19.29
2001,19.32
2002,19.62
2003,19.87
2004,19.56
2005,19.82
2006,19.53
2007,19.70
2008,19.45
2009,19.81
2010,19.38
2011,19.83
2012,19.71
2013,20.45
